S0,american,am_se,european,payoff
36.0,4.47777011694108,0.016882724729456296,3.84430779159684,4.0
36.5,4.14360431512957,0.017209704243477723,3.5759382626125777,3.5
37.0,3.8277578893462474,0.01722836910486665,3.3212032379320213,3.0
37.5,3.528747141918025,0.01717924767549258,3.079940608937928,2.5
38.0,3.2576183657079145,0.017260398196252462,2.8519321180394748,2.0
38.5,2.9974160394723817,0.01705088370140284,2.6369084325196717,1.5
39.0,2.7621077354688253,0.016800355667045453,2.4345545291621864,1.0
39.5,2.5376061031655053,0.016470468821161134,2.244515263068095,0.5
40.0,2.319082634377789,0.015965143608083564,2.066401004420346,0.0
40.5,2.129958858970493,0.015640949649382695,1.8997932390366632,0.0
41.0,1.9492626840180955,0.015187177684040366,1.7442500417328706,0.0
41.5,1.7873563580247698,0.014781131340383875,1.5993113452296495,0.0
42.0,1.6377920782940156,0.014253867324253652,1.4645039410864467,0.0
42.5,1.492642041170957,0.01371419754689,1.339346162527633,0.0
43.0,1.3610012202476847,0.013195566451678103,1.2233522117139763,0.0
43.5,1.2347031487695432,0.012626923076218842,1.1160361057594699,0.0
44.0,1.121345383278316,0.012084148155689783,1.0169152264282708,0.0
